© 2000-2018 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(B-H p-value)	Ratio	z-score	Molecules
Integrin Signaling	6.18E00	2.42E-01	NaN	RAF1,RAC2,RAPGEF1,MPRIP,PFN1,ARF1,PIK3R1,MYLK2,KRAS,PTEN,MAPK3,ITGAV,GSK3B,ITGB4,ITGB5,ACTA1,ITGA4,ACTR2,AKT2,TSPAN5,FGFR1,RALB,FGFR2,ITGA5,CAPN8,ACTA2,PLCG2,CAPN1,ZYX,CAPN2,ACTN4,FYN,RALA,TSPAN7,ARHGEF7,ILK,ABL1,CRK,AKT1,PPP1R12A,RHOT1,PFN2,ACTC1,ACTN1,ITGB1,SRC,NRAS,GRB2,ACTN2,ACTB,MAPK8,GIT1,CAPNS1
PEDF Signaling	6.18E00	3.23E-01	NaN	RAF1,TCF4,RALA,PIK3R1,KRAS,FAS,TCF12,BCL2,IKBKB,IKBKG,NFKBIA,AKT1,MAPK3,CHUK,CASP8,PPARG,TP53,ARHGAP22,AKT2,NRAS,GRB2,FGFR1,RALB,FGFR2,IKBKE,BCL2L1,MAPK14,CFLAR,CASP7,TCF7L2
VEGF Signaling	6.09E00	3.03E-01	NaN	RAF1,RALA,PIK3R1,KRAS,HIF1A,EIF2S1,NOS3,ELAVL1,BCL2,AKT1,MAPK3,ACTC1,ACTA1,EIF1AY,ACTN1,SRC,AKT2,PTPN6,NRAS,YWHAE,GRB2,ACTN2,ACTB,FGFR1,RALB,FGFR2,EIF2S3,BCL2L1,ACTA2,PLCG2,ACTN4,SFN,EIF1AX
CDK5 Signaling	5.98E00	3.05E-01	NaN	RAF1,RALA,PPP2R2A,PPP2CA,ABL1,KRAS,CDK5R1,LAMC1,PPP1CC,CDK5,PPP1R12A,PPM1J,MAPK3,LAMB1,LAMA1,PPP2R2C,PPP1CA,ITGB1,NRAS,RALB,MAPK6,ADCY6,MAPK8,CACNA1A,PPP2CB,PPP2R1A,MAPK14,CAPN1,MAPT,PPP2R2B,PRKACA,PPP2R1B
Myc Mediated Apoptosis Signaling	5.9E00	3.42E-01	NaN	CDKN2A,RALA,YWHAH,PIK3R1,KRAS,FAS,BCL2,MYC,YWHAQ,AKT1,CASP8,TP53,AKT2,YWHAG,NRAS,YWHAE,CASP3,GRB2,YWHAB,FGFR1,RALB,YWHAZ,MAPK8,FGFR2,BAX,SFN
PPAR Signaling	5.88E00	3.07E-01	NaN	RAF1,RALA,KRAS,EP300,IL1R2,NR2F1,IKBKB,HSP90B1,IKBKG,NFKBIA,HSP90AB1,MAPK3,NCOR1,CHUK,STAT5B,PPARG,NRAS,TNFRSF1A,GRB2,MED1,RALB,CREBBP,IKBKE,SNW1,TRAF6,TRAF2,HSP90AA1,INSR,NCOR2,RXRA,MAP4K4
Cell Cycle: G1/S Checkpoint Regulation	5.87E00	3.58E-01	NaN	TP53,CDKN2A,HDAC9,HDAC4,PA2G4,HDAC2,BMI1,SMAD3,SUV39H1,HDAC1,CUL1,ABL1,CDK6,HDAC10,HDAC5,NRG1,MYC,HDAC6,HDAC3,HDAC11,CDKN1A,BTRC,GSK3B,CDK2
Wnt/β-catenin Signaling	5.86E00	2.56E-01	NaN	CDKN2A,TCF4,CSNK2A1,TGFBR1,AXIN1,PPP2CA,PPP2R2A,ILK,GSK3A,EP300,SOX2,MYC,NLK,AKT1,DKK3,PPM1J,RUVBL2,PPP2R2C,CSNK2B,GSK3B,CTNNB1,TP53,SRC,AKT2,UBB,CREBBP,HDAC1,DKKL1,TCF3,CSNK2A2,PPP2CB,CDH2,PPP2R1A,CDH1,CDH5,PPP2R2B,CD44,BTRC,PIN1,UBC,PPP2R1B,LRP1,TCF7L2,POU5F1
Regulation of Cellular Mechanics by Calpain Protease	5.8E00	3.65E-01	NaN	ITGB1,SRC,RALA,NRAS,GRB2,ACTN2,RALB,CDK6,ITGA5,KRAS,CDK1,CAPN8,CAPNS1,CAPN1,EZR,MAPK3,CAPN2,CAST,ACTN4,CDK2,ACTN1,EGFR,ITGA4
Phospholipase C Signaling	5.73E00	2.29E-01	NaN	CD247,RAF1,MPRIP,GNB5,HDAC10,KRAS,HDAC6,GNB1,HDAC11,MAPK3,ITGA4,HDAC4,HDAC2,CREBBP,CREB3,RALB,ITGA5,CD79A,ITPR1,ATF2,HDAC5,HDAC3,ARHGEF16,PLCG2,ZAP70,GNB2,ARHGEF10,FYN,RALA,ARHGEF7,PLA2G10,IGHG1,FCGR2B,NFATC1,EP300,TGM2,AHNAK,PPP1R12A,RHOT1,CREB1,PRKCE,ITGB1,SRC,HDAC9,NRAS,CD79B,GRB2,HDAC1,ADCY6,CD3D,PLA2G2A,BTK,CALM1 (includes others),GRAP2,LYN,NFATC2
PI3K Signaling in B Lymphocytes	5.61E00	2.72E-01	NaN	CD81,FYN,RAF1,RALA,ATF5,PDIA3,PIK3R1,ABL1,KRAS,FCGR2B,NFATC1,PTEN,IKBKB,IKBKG,NFKBIA,AKT1,CARD10,MAPK3,CREB1,CHUK,CAMK2B,AKT2,NRAS,CD79B,RALB,IRS4,CD79A,IKBKE,ITPR1,ATF2,BTK,CALM1 (includes others),CBL,PLCG2,LYN,NFATC2,PLEKHA1
Mitochondrial Dysfunction	5.52E00	2.51E-01	NaN	NDUFA4,NDUFA9,ATP5PD,PSENEN,NCSTN,NDUFB8,PSEN2,ATP5F1E,BCL2,PDHA1,NDUFB9,NDUFS1,PRKN,CASP8,ATP5PB,ATP5PF,CASP3,NDUFS7,ATP5F1A,ATP5PO,MAPK8,LRRK2,BACE1,NDUFAF2,NDUFA13,APP,GSR,ATP5F1C,ATP5F1B,NDUFS8,NDUFA11,APH1A,NDUFB7,CYC1,UQCRC2,COX5A,APH1B,ATPAF2,VDAC1,SNCA,UQCRQ,PSEN1,COX15
PPARα/RXRα Activation	5.29E00	2.42E-01	NaN	RAF1,TGFBR1,RALA,PRKAB1,PDIA3,SMAD3,KRAS,AP2A2,ABCA1,EP300,IL1R2,NR2F1,IKBKB,HSP90B1,IKBKG,NFKBIA,HSP90AB1,MAPK3,NCOR1,CHUK,STAT5B,ITGB5,SMAD2,NRAS,GRB2,MED1,RALB,CREBBP,ADCY6,CYP2C18,MAPK8,CKAP5,IKBKE,TGS1,TRAF6,CAND1,MAPK14,PLCG2,PRKACA,HSP90AA1,NCOR2,INSR,RXRA,MAP4K4,CYP2C8
Lymphotoxin β Receptor Signaling	5.28E00	3.43E-01	NaN	VCAM1,AKT2,TRAF3,CASP3,GRB2,PIK3R1,FGFR1,CREBBP,FGFR2,IKBKE,EP300,TRAF6,DIABLO,IKBKB,BCL2L1,TRAF2,IKBKG,AKT1,NFKBIA,MAPK3,ELP1,CHUK,TRAF1
NGF Signaling	5.25E00	2.74E-01	NaN	RAF1,RALA,PIK3R1,CRK,KRAS,MAP3K4,EP300,MAP3K10,IKBKB,IKBKG,AKT1,MAPK3,NTRK1,CREB1,RPS6KB2,CHUK,TP53,RPS6KB1,AKT2,NRAS,GRB2,FGFR1,RALB,CREB3,MAP3K1,CREBBP,MAPK8,FGFR2,IKBKE,BAX,ATF2,TRAF6,PLCG2,RPS6KA1
Breast Cancer Regulation by Stathmin1	5.23E00	2.32E-01	NaN	RAF1,TUBA1B,RALA,PPP2CA,PPP2R2A,PIK3R1,ARHGEF7,GNB5,KRAS,TUBB,TUBB2B,GNB1,PPP1CC,PPP1R12A,TUBA8,PPM1J,MAPK3,PRKCE,TUBB4A,PPP2R2C,TUBA1C,TUBA3E,PPP1CA,CAMK2B,TP53,NRAS,TUBB4B,GRB2,FGFR1,TUBG1,RALB,ADCY6,TUBA4A,FGFR2,ITPR1,TSG101,CDK1,PPP2CB,CALM1 (includes others),PPP2R1A,TUBA1A,ARHGEF16,CDKN1A,PPP2R2B,GNB2,PRKACA,PPP2R1B,ARHGEF10,CDK2
NF-κB Activation by Viruses	5.17E00	3.01E-01	NaN	RAF1,RALA,CD4,PIK3R1,KRAS,IKBKB,IKBKG,NFKBIA,AKT1,MAPK3,ITGAV,PRKCE,CHUK,ITGB5,ITGA4,ITGB1,AKT2,NRAS,GRB2,FGFR1,RALB,MAP3K1,TBP,FGFR2,ITGA5,IKBKE,TRAF2,ELP1
Role of PKR in Interferon Induction and Antiviral Response	5.16E00	4.15E-01	NaN	TP53,TRAF3,CASP3,TNFRSF1A,IKBKE,EIF2S1,FCGR1A,ATF2,TRAF6,IKBKB,IKBKG,TRAF2,MAPK14,AKT1,NFKBIA,CHUK,CASP8
FAK Signaling	5.03E00	2.86E-01	NaN	RAF1,FYN,RALA,ARHGEF7,PIK3R1,KRAS,CRK,PTEN,AKT1,MAPK3,ACTC1,ACTA1,ITGA4,EGFR,ITGB1,SRC,AKT2,NRAS,GRB2,FGFR1,ACTB,RALB,ITGA5,FGFR2,CAPN8,CAPNS1,ACTA2,CAPN1,PLCG2,CAPN2
Agrin Interactions at Neuromuscular Junction	4.95E00	3.2E-01	NaN	ITGB1,RAC2,SRC,RALA,NRAS,ACTB,ARHGEF7,RALB,MAPK8,ITGA5,ERBB3,KRAS,LAMC1,NRG1,ACTA2,ERBB4,MAPK3,LAMB1,ERBB2,AGRN,ACTC1,ACTA1,EGFR,ITGA4
Small Cell Lung Cancer Signaling	4.95E00	3.06E-01	NaN	TP53,AKT2,TRAF3,PA2G4,GRB2,FGFR1,PIK3R1,SUV39H1,CDK6,ABL1,FGFR2,IKBKE,PTEN,BCL2,TRAF6,MYC,BCL2L1,IKBKB,TRAF2,IKBKG,AKT1,NFKBIA,CHUK,RXRA,CDK2,TRAF1
Endometrial Cancer Signaling	4.95E00	3.29E-01	NaN	TP53,RAF1,AKT2,RALA,NRAS,GRB2,AXIN1,PIK3R1,FGFR1,RALB,ILK,CTNNA1,FGFR2,KRAS,MLH1,PTEN,MYC,CDH1,AKT1,MAPK3,GSK3B,ERBB2,CTNNB1
Cell Cycle Control of Chromosomal Replication	4.92E00	3.57E-01	NaN	MCM5,CDK18,CDK13,CDK16,CDK6,RPA1,CDK9,CDK1,RPA2,RPA3,PCNA,CDK8,MCM2,CDK5,CDK17,CDK11A,TOP2A,POLA2,CHEK2,CDK2
NRF2-mediated Oxidative Stress Response	4.83E00	2.3E-01	NaN	RAF1,USP14,RALA,GSTM5,PPIB,PIK3R1,DNAJA4,DNAJC13,KRAS,DNAJB2,DNAJA1,EP300,CUL3,AKT1,MAPK3,VCP,PMF1/PMF1-BGLAP,UBE2K,DNAJA3,PRKCE,FOSL1,DNAJB1,UBE2E3,GSK3B,ACTC1,ACTA1,GSTK1,UBB,NRAS,GRB2,FGFR1,ACTB,RALB,CREBBP,MAP3K1,MAPK8,FGFR2,HERPUD1,GSTO1,GSR,FTL,MAPK14,ACTA2,CCT7,SQSTM1,DNAJB5
Role of CHK Proteins in Cell Cycle Checkpoint Control	4.79E00	3.51E-01	NaN	TP53,CDC25C,PPP2CA,PPP2R2A,MDC1,PLK1,RPA1,CDK1,RAD50,PPP2CB,PPP2R1A,PCNA,PPM1J,CDKN1A,PPP2R2B,PPP2R2C,BRCA1,PPP2R1B,CHEK2,CDK2
Phagosome Maturation	4.74E00	2.5E-01	NaN	TUBA1B,RAB5C,VPS28,HLA-A,HLA-B,RAB5B,TUBB,VPS37C,TAP1,TUBB2B,DYNLL1,TUBA8,CTSH,TUBB4A,TUBA1C,TUBA3E,NAPB,CALR,VPS18,VPS16,TUBB4B,VPS41,TUBG1,RAB7A,TUBA4A,CANX,ATP6V1A,TSG101,ATP6V0A1,TUBA1A,ATP6V1F,ATP6V0D1,VPS37A,CTSC,ATP6V1B2,EEA1,PRDX2
FLT3 Signaling in Hematopoietic Progenitor Cells	4.71E00	2.9E-01	NaN	STAT6,GAB2,RAF1,RPS6KB1,AKT2,RALA,NRAS,GRB2,PIK3R1,FGFR1,RALB,CREBBP,CREB3,FGFR2,KRAS,STAT3,EIF4E,ATF2,EP300,MTOR,MAPK14,AKT1,CBL,MAPK3,CREB1,RPS6KA1,STAT5B
Death Receptor Signaling	4.71E00	2.9E-01	NaN	GAS2,FAS,BCL2,DIABLO,IKBKB,IKBKG,TNKS,NFKBIA,CHUK,CASP8,ACTC1,ACTA1,CASP3,TNFRSF1A,ACTB,MAPK8,ZC3HAV1,LMNA,IKBKE,TBK1,TRAF2,ACTA2,SPTAN1,CFLAR,MAP4K4,CASP7,HSPB1
Ceramide Signaling	4.65E00	2.83E-01	NaN	RAF1,RALA,PPP2R2A,PPP2CA,PIK3R1,KRAS,KSR1,BCL2,DIABLO,AKT1,PPM1J,MAPK3,PPP2R2C,NSMAF,AKT2,NRAS,TNFRSF1A,GRB2,FGFR1,RALB,MAP3K1,MAPK8,FGFR2,CERK,PPP2CB,PPP2R1A,PPP2R2B,PPP2R1B
CTLA4 Signaling in Cytotoxic T Lymphocytes	4.65E00	2.83E-01	NaN	CD247,FYN,AP2A1,HLA-A,PPP2R2A,PPP2CA,PIK3R1,HLA-B,AP2A2,AKT1,PPM1J,PPP2R2C,AP2M1,PTPN6,AKT2,AP1M2,GRB2,FGFR1,CLTC,FGFR2,CD3D,PPP2CB,PPP2R1A,GRAP2,CLTA,PPP2R2B,ZAP70,PPP2R1B
Role of NFAT in Regulation of the Immune Response	4.61E00	2.29E-01	NaN	CD247,FYN,RAF1,RALA,HLA-A,PIK3R1,CD4,HLA-B,GNB5,GSK3A,KRAS,FCGR2B,FCGR1A,NFATC1,GNB1,IKBKB,IKBKG,NFKBIA,AKT1,MAPK3,XPO1,CHUK,GSK3B,AKT2,NRAS,CD79B,GRB2,FGFR1,RALB,FGFR2,CD79A,IKBKE,ITPR1,CD3D,ATF2,BTK,CALM1 (includes others),PLCG2,ZAP70,GNB2,LYN,NFATC2,ELP1,RCAN2
Endocannabinoid Cancer Inhibition Pathway	4.55E00	2.42E-01	NaN	RAF1,TCF4,PRKAB1,PIK3R1,HIF1A,NOS3,EIF2A,GPR55,EP300,MYC,MTOR,AKT1,MAPK3,CREB1,GSK3B,CASP8,NOS2,CTNNB1,NSMAF,SRC,AKT2,CASP3,GRB2,FGFR1,CREB3,CREBBP,ADCY6,FGFR2,VIM,TCF3,MLST8,ATF2,CDH1,MAPK14,CDKN1A,PRKACA,TCF7L2,CASP7
B Cell Activating Factor Signaling	4.51E00	3.9E-01	NaN	TRAF3,MAP3K1,MAPK8,IKBKE,NFATC1,TNFRSF17,TRAF6,IKBKB,TRAF2,IKBKG,MAPK14,NFKBIA,NFATC2,ELP1,CHUK,TRAF1
ErbB2-ErbB3 Signaling	4.45E00	3.07E-01	NaN	RAF1,RALA,NRAS,GRB2,PIK3R1,FGFR1,RALB,TYK2,FGFR2,ERBB3,GSK3A,KRAS,STAT3,PTEN,NRG1,MYC,AKT1,SP1,ETV4,MAPK3,GSK3B,ERBB2,STAT5B
Regulation of IL-2 Expression in Activated and Anergic T Lymphocytes	4.39E00	2.91E-01	NaN	CD247,SMAD2,FYN,RAF1,NRAS,TGFBR1,RALA,GRB2,SMAD3,MAP3K1,RALB,MAPK8,IKBKE,KRAS,CD3D,NFATC1,CALM1 (includes others),IKBKB,IKBKG,NFKBIA,PLCG2,MAPK3,ZAP70,NFATC2,CHUK
Induction of Apoptosis by HIV1	4.34E00	3.28E-01	NaN	TP53,CASP3,TNFRSF1A,MAPK8,SLC25A3,IKBKE,BAX,FAS,BAK1,BCL2,DIABLO,IKBKB,BCL2L1,TRAF2,IKBKG,NFKBIA,ELP1,CHUK,CASP8,TRAF1
Mitotic Roles of Polo-Like Kinase	4.34E00	3.18E-01	NaN	KIF23,CDC25C,CDC20,PPP2CA,PPP2R2A,PLK1,CDK1,CDC25B,PPP2CB,PPP2R1A,HSP90B1,HSP90AB1,CAPN1,PPM1J,PPP2R2B,HSP90AA1,PPP2R2C,PPP2R1B,CHEK2,KIF11,RAD21
T Cell Receptor Signaling	4.26E00	2.61E-01	NaN	CD247,RAF1,FYN,RALA,CD4,PIK3R1,KRAS,NFATC1,IKBKB,IKBKG,NFKBIA,MAPK3,CHUK,RASA1,NRAS,GRB2,FGFR1,MAP3K1,RALB,MAPK8,FGFR2,IKBKE,BMX,CD3D,BTK,CALM1 (includes others),CBL,GRAP2,ZAP70,NFATC2
April Mediated Signaling	4.15E00	3.85E-01	NaN	TRAF3,MAP3K1,MAPK8,IKBKE,NFATC1,TNFRSF17,TRAF6,IKBKB,IKBKG,TRAF2,NFKBIA,MAPK14,NFATC2,CHUK,TRAF1
IGF-1 Signaling	4.14E00	2.61E-01	NaN	RAF1,CSNK2A1,RALA,YWHAH,PIK3R1,KRAS,YWHAQ,AKT1,MAPK3,RPS6KB2,CSNK2B,RASA1,RPS6KB1,AKT2,NEDD4,YWHAG,NRAS,YWHAE,GRB2,YWHAB,FGFR1,RALB,YWHAZ,MAPK8,FGFR2,STAT3,CSNK2A2,PRKACA,SFN
EGF Signaling	4.13E00	3.09E-01	NaN	RPS6KB1,RAF1,SRC,CSNK2A1,AKT2,GRB2,PIK3R1,FGFR1,MAP3K1,MAPK8,FGFR2,STAT3,ITPR1,CSNK2A2,MTOR,MAPK14,AKT1,MAPK3,CSNK2B,RASA1,EGFR
Opioid Signaling Pathway	4.09E00	2.07E-01	NaN	RAF1,RAC2,KRAS,NOS3,AP2A2,GNB1,MYC,MAPK3,GSK3B,RPS6KB1,AKT2,OPRM1,CREBBP,CLTC,CREB3,RALB,GRK5,ITPR1,CACNA1A,ATF2,ARRB2,KCNJ5,CLTA,CACNA2D1,PRKACA,RPS6KA1,FYN,AP2A1,RALA,CACNB3,EP300,NFKBIA,AKT1,CREB1,RPS6KB2,PRKCE,CTNNB1,PDK1,CAMK2B,SRC,GRIN2B,AP2M1,RGS20,NRAS,RYR2,RGS7,CACNB4,MAPK6,ADCY6,CALM1 (includes others),LYN
Role of Tissue Factor in Cancer	4.02E00	2.46E-01	NaN	FYN,RALA,PIK3R1,KRAS,EIF4E,PTEN,MTOR,AKT1,MAPK3,ITGAV,STAT5B,ITGB5,EGFR,TP53,ITGB1,RPS6KB1,SRC,P4HB,AKT2,NRAS,CASP3,CFL1,GRB2,FGFR1,RALB,FGFR2,BCL2L1,ARRB2,MAPK14,CSF1,LYN,RPS6KA1
PDGF Signaling	4.01E00	2.71E-01	NaN	RAF1,CSNK2A1,RALA,PIK3R1,ABL1,KRAS,CRK,INPPL1,MYC,MAPK3,CSNK2B,RASA1,CAV3,SRC,NRAS,GRB2,FGFR1,RALB,TYK2,MAP3K1,MAPK8,FGFR2,STAT3,CSNK2A2,PLCG2,INPP5K
Ovarian Cancer Signaling	3.94E00	2.35E-01	NaN	CDKN2A,RAF1,TCF4,RALA,PA2G4,AXIN1,PIK3R1,SUV39H1,ABL1,KRAS,MLH1,BCL2,PTEN,RAD51,MTOR,AKT1,MAPK3,RPS6KB2,GSK3B,CTNNB1,BRCA1,EGFR,TP53,RPS6KB1,SRC,AKT2,NRAS,GRB2,FGFR1,RALB,FGFR2,TCF3,CD44,PRKACA,TCF7L2
Assembly of RNA Polymerase II Complex	3.94E00	3.4E-01	NaN	POLR2I,TAF12,TAF9,POLR2F,TAF5L,TBP,POLR2H,GTF2F1,TAF10,POLR2B,POLR2G,GTF2B,TAF6L,POLR2A,TAF4,POLR2E,TAF15
Aldosterone Signaling in Epithelial Cells	3.9E00	2.26E-01	NaN	RAF1,CRYAB,PDIA3,PIK3R1,HSPA1A/HSPA1B,TRAP1,DNAJC13,KRAS,DNAJB2,DNAJA1,HSPA5,SLC9A1,SCNN1A,HSPA4,HSP90B1,SACS,HSP90AB1,MAPK3,HSPE1,PRKCE,DNAJB1,SCNN1B,NEDD4,GRB2,FGFR1,HSPA9,FGFR2,HSPD1,ITPR1,HSPA8,ODF1,SCNN1G,PLCG2,ASIC1,HSP90AA1,CRYAA/CRYAA2,DNAJB5,HSPB1
NER Pathway	3.9E00	2.62E-01	NaN	POLR2F,CUL4A,UBE2N,DDB2,POLR2B,EP300,USP7,CETN2,POLD3,POLR2A,COPS6,NEDD8,TOP2A,RAD23B,POLR2I,COPS5,POLR2H,RPA1,RPA2,POLR2G,PCNA,RPA3,H3F3A/H3F3B,POLR2E,RNF111,POLA2,UBE2I
mTOR Signaling	3.88E00	2.14E-01	NaN	TSC1,ULK1,RALA,PRKAB1,RPS27,PPP2CA,PPP2R2A,PIK3R1,EIF4A2,KRAS,HIF1A,EIF4G1,EIF4E,MTOR,AKT1,RHOT1,PPM1J,MAPK3,RPS9,EIF3A,RPS6KB2,PRKCE,PPP2R2C,RPS5,RPS17,RPS6KB1,MAPKAP1,AKT2,RHEB,NRAS,EIF3H,GRB2,FGFR1,STK11,RALB,FGFR2,MLST8,PPP2CB,PPP2R1A,EIF3F,PPP2R2B,INSR,RPS6KA1,PPP2R1B
Acute Myeloid Leukemia Signaling	3.87E00	2.65E-01	NaN	RAF1,TCF4,RALA,IDH3G,PIK3R1,KRAS,MYC,MTOR,AKT1,MAPK3,CEBPA,RPS6KB2,STAT5B,IDH3B,RPS6KB1,AKT2,NRAS,GRB2,FGFR1,RALB,FGFR2,STAT3,TCF3,PML,TCF7L2,PIM2
Endocannabinoid Developing Neuron Pathway	3.85E00	2.44E-01	NaN	RAC2,RAF1,RALA,PIK3R1,KRAS,EP300,GNB1,MTOR,AKT1,MAPK3,CREB1,GSK3B,BRCA1,CTNNB1,SRC,AKT2,NRAS,GRB2,FGFR1,RALB,CREB3,CREBBP,MAPK8,MAPK6,ADCY6,FGFR2,STAT3,MLST8,ATF2,MAPK14,PRKACA
TGF-β Signaling	3.83E00	2.69E-01	NaN	RAF1,SMAD2,NRAS,RALA,TGFBR1,SMAD9,GRB2,FOXH1,SMAD3,HDAC1,CREBBP,RALB,SKI,MAPK8,KRAS,SMURF1,EP300,BCL2,TRAF6,PIAS4,MAPK14,RNF111,MAPK3,SMURF2,SMAD1
HER-2 Signaling in Breast Cancer	3.74E00	2.66E-01	NaN	ITGB1,TP53,TSC1,AKT2,NRAS,RALA,GRB2,FGFR1,PIK3R1,RALB,CDK6,FGFR2,ERBB3,GSK3A,KRAS,NRG1,AKT1,CDKN1A,PRKCE,ITGB4,GSK3B,ERBB2,PARD3,ITGB5,EGFR
ErbB4 Signaling	3.71E00	2.82E-01	NaN	RAF1,RALA,NRAS,PSENEN,YAP1,GRB2,PIK3R1,FGFR1,RALB,NCSTN,FGFR2,KRAS,PSEN2,NRG1,AKT1,ERBB4,APH1A,PLCG2,MAPK3,PRKCE,APH1B,PSEN1
Notch Signaling	3.69E00	3.68E-01	NaN	JAG2,PSENEN,NUMB,NCSTN,PSEN2,NUMBL,DTX2,APH1A,APH1B,RBPJ,HEY2,NOTCH1,HEY1,PSEN1
Mouse Embryonic Stem Cell Pluripotency	3.68E00	2.5E-01	NaN	RAF1,TCF4,RALA,AXIN1,PIK3R1,KRAS,SOX2,MYC,AKT1,MAPK3,GSK3B,CTNNB1,SMAD1,TP53,AKT2,NRAS,SMAD9,GRB2,FGFR1,RALB,CREBBP,TYK2,FGFR2,STAT3,TCF3,MAPK14,TCF7L2,POU5F1
Aryl Hydrocarbon Receptor Signaling	3.66E00	2.32E-01	NaN	CDKN2A,GSTM5,SMARCA4,PTGES3,FAS,EP300,MYC,NR2F1,TGM2,ALDH2,HSP90B1,HSP90AB1,SP1,MAPK3,NEDD8,CHEK2,GSTK1,TP53,SRC,MED1,CDK6,MAPK8,BAX,GSTO1,CDKN1A,HSP90AA1,ALDH18A1,NCOR2,DHFR,RXRA,ESR1,CDK2,HSPB1
Ephrin Receptor Signaling	3.66E00	2.18E-01	NaN	RAC2,FYN,RAPGEF1,RAF1,RALA,ITSN1,AXIN1,ABL1,GNB5,CRK,KRAS,EP300,GNB1,AKT1,SDC2,EFNB1,MAPK3,CREB1,RASA1,ITGA4,ITGB1,GRIN2B,SRC,ACTR2,AKT2,NRAS,CFL1,KALRN,GRB2,RALB,CREB3,CREBBP,ITGA5,STAT3,ATF2,SDCBP,ABI1,GNB2,MAP4K4
Inhibition of Angiogenesis by TSP1	3.63E00	3.82E-01	NaN	TP53,HSPG2,FYN,AKT2,CD47,MAPK14,AKT1,SDC1,TGFBR1,CASP3,SDC2,MAPK8,NOS3
Androgen Signaling	3.61E00	2.34E-01	NaN	POLR2F,SMAD3,GNB5,POLR2B,CACNB3,EP300,NCOA4,GNB1,HSPA4,GTF2B,KAT2B,AR,POLR2A,MAPK3,PRKCE,DNAJB1,POLR2I,SRC,CALR,CACNB4,CREBBP,TBP,POLR2H,GTF2F1,CACNA1A,POLR2G,CALM1 (includes others),POLR2E,CACNA2D1,GNB2,PRKACA,HSP90AA1
Role of BRCA1 in DNA Damage Response	3.56E00	2.75E-01	NaN	TP53,FANCG,ACTB,ATRIP,MDC1,PLK1,RPA1,ARID2,UIMC1,FANCC,RAD50,SMARCA4,MLH1,RAD51,CDKN1A,BABAM1,SMARCC2,BRCA1,BABAM2,HLTF,CHEK2,FANCA
Glioma Signaling	3.56E00	2.42E-01	NaN	CDKN2A,RAF1,RALA,PA2G4,IDH3G,SUV39H1,PIK3R1,ABL1,KRAS,PTEN,MTOR,AKT1,MAPK3,PRKCE,IDH3B,CAMK2B,EGFR,TP53,AKT2,NRAS,GRB2,FGFR1,RALB,CDK6,FGFR2,IGF2R,CALM1 (includes others),PLCG2,CDKN1A
Pancreatic Adenocarcinoma Signaling	3.56E00	2.42E-01	NaN	TP53,CDKN2A,SMAD2,RAF1,AKT2,RALA,TGFBR1,PA2G4,GRB2,FGFR1,PIK3R1,SUV39H1,SMAD3,TYK2,MAPK8,ABL1,FGFR2,KRAS,STAT3,BCL2,RAD51,BCL2L1,AKT1,MAPK3,CDKN1A,ERBB2,NOTCH1,CDK2,EGFR
Estrogen-Dependent Breast Cancer Signaling	3.52E00	2.67E-01	NaN	SRC,AKT2,RALA,NRAS,GRB2,PIK3R1,FGFR1,CREBBP,CREB3,RALB,TERT,FGFR2,KRAS,ATF2,EP300,AKT1,SP1,MAPK3,CREB1,HSD17B12,STAT5B,ESR1,EGFR
Role of Macrophages, Fibroblasts and Endothelial Cells in Rheumatoid Arthritis	3.51E00	1.87E-01	NaN	RAF1,TRAF3,AXIN1,PIK3R1,KRAS,FCGR1A,IL1R2,MYC,IKBKB,IKBKG,MAPK3,GSK3B,AKT2,FGFR1,CREBBP,CREB3,RALB,FGFR2,STAT3,TCF3,ATF2,TRAF6,PLCG2,TCF4,ICAM1,RALA,FN1,PDIA3,IGHG1,IL17RA,NFATC1,EP300,IRAK1,NFKBIA,NLK,AKT1,DKK3,CREB1,CEBPA,PRKCE,CHUK,NOS2,CTNNB1,CAMK2B,TRAF1,SRC,VCAM1,NRAS,GRB2,TNFRSF1A,IKBKE,DKKL1,CALM1 (includes others),TRAF2,MAPK14,CSF1,NFATC2,TCF7L2,LRP1,IRAK2
Reelin Signaling in Neurons	3.5E00	2.61E-01	NaN	ITGB1,APOE,FYN,SRC,GRB2,PIK3R1,FGFR1,MAPK8IP2,MAPK8,ITGA5,FGFR2,MAPK8IP3,CDK5R1,APP,MAP3K10,APBB1,AKT1,CDK5,ARHGEF16,MAPT,LYN,GSK3B,ARHGEF10,ITGA4
IL-8 Signaling	3.44E00	2.07E-01	NaN	RAC2,RAF1,RALA,ICAM1,PIK3R1,GNB5,KRAS,IQGAP1,IRAK1,BCL2,GNB1,IKBKB,MTOR,IKBKG,AKT1,RHOT1,MAPK3,ITGAV,PRKCE,CHUK,ITGB5,LASP1,EGFR,RPS6KB1,SRC,VCAM1,AKT2,NRAS,GRB2,FGFR1,RALB,MAPK8,FGFR2,IKBKE,BAX,TRAF6,BCL2L1,ARRB2,CDH1,GNB2,MAP4K4,IRAK2
Telomere Extension by Telomerase	3.4E00	5.33E-01	NaN	TNKS,HNRNPA1,XRCC6,HNRNPA2B1,TINF2,TERF1,POT1,RAD50
